Sample,Site,Year,Month,Biomass (g),Pigment ,ESTD Conc (µg/100µl),Sample Conc (µg)
a_vau_K3_040822,Kampen,2022,July,0.0268,Chlorophyll c2,0.9450,35.2612
a_vau_K3_040823,Kampen,2022,July,0.0268,Fucoxanthin,1.1840,44.1791
a_vau_K3_040824,Kampen,2022,July,0.0268,Violaxanthin,0.2600,9.7015
a_vau_K3_040825,Kampen,2022,July,0.0268,Diadinoxanthin,3.1650,118.0970
a_vau_K3_040826,Kampen,2022,July,0.0268,Diatoxanthin,0.1730,6.4552
a_vau_K3_040827,Kampen,2022,July,0.0268,Chlorophyll b,4.9010,182.8731
a_vau_K3_040828,Kampen,2022,July,0.0268,Chlorophyll a,11.1610,416.4552
a_vau_K3_040829,Kampen,2022,July,0.0268,ß-Carotin,1.2650,47.2015
a_vau_K4_040822,Kampen,2022,July,0.0272,Chlorophyll c2,0.7040,25.8824
a_vau_K4_040823,Kampen,2022,July,0.0272,Fucoxanthin,0.9520,35.0000
a_vau_K4_040824,Kampen,2022,July,0.0272,Violaxanthin,0.2710,9.9632
a_vau_K4_040825,Kampen,2022,July,0.0272,Diadinoxanthin,2.8280,103.9706
a_vau_K4_040826,Kampen,2022,July,0.0272,Diatoxanthin,0.4850,17.8309
a_vau_K4_040827,Kampen,2022,July,0.0272,Chlorophyll b,3.0160,110.8824
a_vau_K4_040828,Kampen,2022,July,0.0272,Chlorophyll a,9.8430,361.8750
a_vau_K4_040829,Kampen,2022,July,0.0272,ß-Carotin,0.9150,33.6397
a_vau_K5_040822,Kampen,2022,July,0.0252,Chlorophyll c2,0.0000,0.0000
a_vau_K5_040823,Kampen,2022,July,0.0252,Fucoxanthin,0.3760,14.9206
a_vau_K5_040824,Kampen,2022,July,0.0252,Violaxanthin,2.7830,110.4365
a_vau_K5_040825,Kampen,2022,July,0.0252,Diadinoxanthin,0.2410,9.5635
a_vau_K5_040826,Kampen,2022,July,0.0252,Diatoxanthin,0.3250,12.8968
a_vau_K5_040827,Kampen,2022,July,0.0252,Chlorophyll b,4.0120,159.2063
a_vau_K5_040828,Kampen,2022,July,0.0252,Chlorophyll a,10.3800,411.9048
a_vau_K5_040829,Kampen,2022,July,0.0252,ß-Carotin,1.0840,43.0159
