Sample,Site,Year,Month,Rep,Sum,Perc,Perc_val
a_vau_14_010223,Kampen,2022,November,4,264.44,chla/total,0.803811829
a_vau_14_010223,Kampen,2022,November,4,264.44,vdd/total,0.13356527
a_vau_14_010223,Kampen,2022,November,4,264.44,chl/total,0.840417486
a_vau_14_010223,Kampen,2022,November,4,264.44,chl/vdd,6.29218573
a_vau_15_010223,Kampen,2022,November,5,268.48,chla/total,0.799761621
a_vau_15_010223,Kampen,2022,November,5,268.48,vdd/total,0.136769964
a_vau_15_010223,Kampen,2022,November,5,268.48,chl/total,0.835220501
a_vau_15_010223,Kampen,2022,November,5,268.48,chl/vdd,6.106753813
a_vau_16_010223,List,2022,November,1,135.16,chla/total,0.855578574
a_vau_16_010223,List,2022,November,1,135.16,vdd/total,0.059189109
a_vau_16_010223,List,2022,November,1,135.16,chl/total,0.888724475
a_vau_16_010223,List,2022,November,1,135.16,chl/vdd,15.015
a_vau_17_010223,List,2022,November,2,145.72,chla/total,0.854515509
a_vau_17_010223,List,2022,November,2,145.72,vdd/total,0.058468295
a_vau_17_010223,List,2022,November,2,145.72,chl/total,0.888004392
a_vau_17_010223,List,2022,November,2,145.72,chl/vdd,15.18779343
a_vau_18_010223,List,2022,November,3,120.96,chla/total,0.858465608
a_vau_18_010223,List,2022,November,3,120.96,vdd/total,0.053902116
a_vau_18_010223,List,2022,November,3,120.96,chl/total,0.893849206
a_vau_18_010223,List,2022,November,3,120.96,chl/vdd,16.58282209
a_vau_19_010223,List,2022,November,4,126.8,chla/total,0.855835962
a_vau_19_010223,List,2022,November,4,126.8,vdd/total,0.055205047
a_vau_19_010223,List,2022,November,4,126.8,chl/total,0.892113565
a_vau_19_010223,List,2022,November,4,126.8,chl/vdd,16.16
a_vau_20_010223,List,2022,November,5,116.92,chla/total,0.860075265
a_vau_20_010223,List,2022,November,5,116.92,vdd/total,0.054738283
a_vau_20_010223,List,2022,November,5,116.92,chl/total,0.893260349
a_vau_20_010223,List,2022,November,5,116.92,chl/vdd,16.31875
