Sample,Site,Year,Month,Rep,Biomass (g),Pigment ,ESTD Conc (µg/100µl),Sample Conc (µg)
a_vau_24_010223,Kampen,2022,July,4,0.025,Chlorophyll b,2.855,114.2
a_vau_24_010223,Kampen,2022,July,4,0.025,Chlorophyll a,11.642,465.68
a_vau_24_010223,Kampen,2022,July,4,0.025,ß-Carotin,0.88,35.2
a_vau_24_010223,Kampen,2022,July,4,0.025,Vaucheriaxanthin,2789376,
a_vau_25_010223,Kampen,2022,July,5,0.025,Chlorophyll c2,0.671,26.84
a_vau_25_010223,Kampen,2022,July,5,0.025,Fucoxanthin,0.822,32.88
a_vau_25_010223,Kampen,2022,July,5,0.025,Violaxanthin,0.204,8.16
a_vau_25_010223,Kampen,2022,July,5,0.025,Diadinoxanthin,3.138,125.52
a_vau_25_010223,Kampen,2022,July,5,0.025,Diatoxanthin,0.605,24.2
a_vau_25_010223,Kampen,2022,July,5,0.025,Chlorophyll b,3.06,122.4
a_vau_25_010223,Kampen,2022,July,5,0.025,Chlorophyll a,12.01,480.4
a_vau_25_010223,Kampen,2022,July,5,0.025,ß-Carotin,0.946,37.84
a_vau_25_010223,Kampen,2022,July,5,0.025,Vaucheriaxanthin,3192200,
a_vau_26_010223,List,2022,July,1,0.025,Chlorophyll c2,0.613,24.52
a_vau_26_010223,List,2022,July,1,0.025,Fucoxanthin,1.199,47.96
a_vau_26_010223,List,2022,July,1,0.025,Violaxanthin,0.136,5.44
a_vau_26_010223,List,2022,July,1,0.025,Diadinoxanthin,2.037,81.48
a_vau_26_010223,List,2022,July,1,0.025,Diatoxanthin,0.127,5.08
a_vau_26_010223,List,2022,July,1,0.025,Chlorophyll b,1.885,75.4
a_vau_26_010223,List,2022,July,1,0.025,Chlorophyll a,10.293,411.72
a_vau_26_010223,List,2022,July,1,0.025,ß-Carotin,0.686,27.44
a_vau_27_010223,List,2022,July,2,0.025,Vaucheriaxanthin,1681127,
a_vau_27_010223,List,2022,July,2,0.025,Chlorophyll c2,0.651,26.04
a_vau_27_010223,List,2022,July,2,0.025,Fucoxanthin,1.302,52.08
a_vau_27_010223,List,2022,July,2,0.025,Violaxanthin,0.147,5.88
a_vau_27_010223,List,2022,July,2,0.025,Diadinoxanthin,2.138,85.52
a_vau_27_010223,List,2022,July,2,0.025,Diatoxanthin,0.13,5.2
a_vau_27_010223,List,2022,July,2,0.025,Chlorophyll b,1.988,79.52
a_vau_27_010223,List,2022,July,2,0.025,Chlorophyll a,10.619,424.76
a_vau_27_010223,List,2022,July,2,0.025,ß-Carotin,0.731,29.24
a_vau_27_010223,List,2022,July,2,0.025,Vaucheriaxanthin,1672315,
a_vau_28_010223,List,2022,July,3,0.025,Chlorophyll c2,0.612,24.48
a_vau_28_010223,List,2022,July,3,0.025,Fucoxanthin,1.305,52.2
a_vau_28_010223,List,2022,July,3,0.025,Violaxanthin,0.142,5.68
a_vau_28_010223,List,2022,July,3,0.025,Diadinoxanthin,2.072,82.88
a_vau_28_010223,List,2022,July,3,0.025,Diatoxanthin,0.118,4.72
a_vau_28_010223,List,2022,July,3,0.025,Chlorophyll b,1.889,75.56
a_vau_28_010223,List,2022,July,3,0.025,Chlorophyll a,10.38,415.2
a_vau_28_010223,List,2022,July,3,0.025,ß-Carotin,0.688,27.52
a_vau_28_010223,List,2022,July,3,0.025,Vaucheriaxanthin,1631743,
a_vau_29_010223,List,2022,July,4,0.025,Chlorophyll c2,0.553,22.12
a_vau_29_010223,List,2022,July,4,0.025,Fucoxanthin,1.182,47.28
a_vau_29_010223,List,2022,July,4,0.025,Violaxanthin,0.132,5.28
a_vau_29_010223,List,2022,July,4,0.025,Diadinoxanthin,1.952,78.08
a_vau_29_010223,List,2022,July,4,0.025,Diatoxanthin,0.12,4.8
a_vau_29_010223,List,2022,July,4,0.025,Chlorophyll b,1.841,73.64
a_vau_29_010223,List,2022,July,4,0.025,Chlorophyll a,10.099,403.96
a_vau_29_010223,List,2022,July,4,0.025,ß-Carotin,0.629,25.16
a_vau_29_010223,List,2022,July,4,0.025,Vaucheriaxanthin,1605036,
a_vau_30_010223,List,2022,July,5,0.025,Chlorophyll c2,0.591,23.64
a_vau_30_010223,List,2022,July,5,0.025,Fucoxanthin,1.292,51.68
a_vau_30_010223,List,2022,July,5,0.025,Violaxanthin,0.142,5.68
a_vau_30_010223,List,2022,July,5,0.025,Diadinoxanthin,2.068,82.72
a_vau_30_010223,List,2022,July,5,0.025,Diatoxanthin,0.126,5.04
a_vau_30_010223,List,2022,July,5,0.025,Chlorophyll b,1.95,78
a_vau_30_010223,List,2022,July,5,0.025,Chlorophyll a,10.409,416.36
a_vau_30_010223,List,2022,July,5,0.025,ß-Carotin,0.654,26.16
a_vau_30_010223,List,2022,July,5,0.025,Vaucheriaxanthin,1666421,
a_vau_1_010223,Kampen,2022,September,1,0.025,Chlorophyll c2,0.5,20
a_vau_1_010223,Kampen,2022,September,1,0.025,Fucoxanthin,0.592,23.68
a_vau_1_010223,Kampen,2022,September,1,0.025,Violaxanthin,0.215,8.6
a_vau_1_010223,Kampen,2022,September,1,0.025,Diadinoxanthin,1.201,48.04
a_vau_1_010223,Kampen,2022,September,1,0.025,Diatoxanthin,0.189,7.56
a_vau_1_010223,Kampen,2022,September,1,0.025,Chlorophyll b,0.835,33.4
a_vau_1_010223,Kampen,2022,September,1,0.025,Chlorophyll a,8.563,342.52
a_vau_1_010223,Kampen,2022,September,1,0.025,ß-Carotin,0.23,9.2
a_vau_1_010223,Kampen,2022,September,1,0.025,Vaucheriaxanthin,1140512,
a_vau_2_010223,Kampen,2022,September,2,0.025,Chlorophyll c2,0.453,18.12
a_vau_2_010223,Kampen,2022,September,2,0.025,Fucoxanthin,0.683,27.32
a_vau_2_010223,Kampen,2022,September,2,0.025,Violaxanthin,0.101,4.04
a_vau_2_010223,Kampen,2022,September,2,0.025,Diadinoxanthin,1.356,54.24
a_vau_2_010223,Kampen,2022,September,2,0.025,Diatoxanthin,0.117,4.68
a_vau_2_010223,Kampen,2022,September,2,0.025,Chlorophyll b,1.405,56.2
a_vau_2_010223,Kampen,2022,September,2,0.025,Chlorophyll a,8.325,333
a_vau_2_010223,Kampen,2022,September,2,0.025,ß-Carotin,0.279,11.16
a_vau_2_010223,Kampen,2022,September,2,0.025,Vaucheriaxanthin,1440028,
a_vau_3_010223,Kampen,2022,September,3,0.025,Chlorophyll c2,0.497,19.88
a_vau_3_010223,Kampen,2022,September,3,0.025,Fucoxanthin,0.732,29.28
a_vau_3_010223,Kampen,2022,September,3,0.025,Violaxanthin,0.117,4.68
a_vau_3_010223,Kampen,2022,September,3,0.025,Diadinoxanthin,1.427,57.08
a_vau_3_010223,Kampen,2022,September,3,0.025,Diatoxanthin,0.128,5.12
a_vau_3_010223,Kampen,2022,September,3,0.025,Chlorophyll b,1.451,58.04
a_vau_3_010223,Kampen,2022,September,3,0.025,Chlorophyll a,8.677,347.08
a_vau_3_010223,Kampen,2022,September,3,0.025,ß-Carotin,0.291,11.64
a_vau_3_010223,Kampen,2022,September,3,0.025,Vaucheriaxanthin,1492920,
a_vau_4_010223,Kampen,2022,September,4,0.025,Chlorophyll c2,0.524,20.96
a_vau_4_010223,Kampen,2022,September,4,0.025,Fucoxanthin,0.685,27.4
a_vau_4_010223,Kampen,2022,September,4,0.025,Violaxanthin,0.179,7.16
a_vau_4_010223,Kampen,2022,September,4,0.025,Diadinoxanthin,1.352,54.08
a_vau_4_010223,Kampen,2022,September,4,0.025,Diatoxanthin,0.144,5.76
a_vau_4_010223,Kampen,2022,September,4,0.025,Chlorophyll b,1.11,44.4
a_vau_4_010223,Kampen,2022,September,4,0.025,Chlorophyll a,8.802,352.08
a_vau_4_010223,Kampen,2022,September,4,0.025,ß-Carotin,0.226,9.04
a_vau_4_010223,Kampen,2022,September,4,0.025,Vaucheriaxanthin,1162239,
a_vau_5_010223,Kampen,2022,September,5,0.025,Chlorophyll c2,0.353,14.12
a_vau_5_010223,Kampen,2022,September,5,0.025,Fucoxanthin,0.451,18.04
a_vau_5_010223,Kampen,2022,September,5,0.025,Violaxanthin,0.131,5.24
a_vau_5_010223,Kampen,2022,September,5,0.025,Diadinoxanthin,0.87,34.8
a_vau_5_010223,Kampen,2022,September,5,0.025,Diatoxanthin,0.107,4.28
a_vau_5_010223,Kampen,2022,September,5,0.025,Chlorophyll b,0.682,27.28
a_vau_5_010223,Kampen,2022,September,5,0.025,Chlorophyll a,6.794,271.76
a_vau_5_010223,Kampen,2022,September,5,0.025,ß-Carotin,0.155,6.2
a_vau_5_010223,Kampen,2022,September,5,0.025,Vaucheriaxanthin,694934,
a_vau_6_010223,List,2022,September,1,0.025,Chlorophyll c2,0.498,19.92
a_vau_6_010223,List,2022,September,1,0.025,Fucoxanthin,0.78,31.2
a_vau_6_010223,List,2022,September,1,0.025,Violaxanthin,0.091,3.64
a_vau_6_010223,List,2022,September,1,0.025,Diadinoxanthin,1.522,60.88
a_vau_6_010223,List,2022,September,1,0.025,Diatoxanthin,0.08,3.2
a_vau_6_010223,List,2022,September,1,0.025,Chlorophyll b,1.574,62.96
a_vau_6_010223,List,2022,September,1,0.025,Chlorophyll a,9.243,369.72
a_vau_6_010223,List,2022,September,1,0.025,ß-Carotin,0.419,16.76
a_vau_6_010223,List,2022,September,1,0.025,Vaucheriaxanthin,1297989,
a_vau_7_010223,List,2022,September,2,0.025,Chlorophyll c2,0.612,24.48
a_vau_7_010223,List,2022,September,2,0.025,Fucoxanthin,0.859,34.36
a_vau_7_010223,List,2022,September,2,0.025,Violaxanthin,0.096,3.84
a_vau_7_010223,List,2022,September,2,0.025,Diadinoxanthin,1.852,74.08
a_vau_7_010223,List,2022,September,2,0.025,Diatoxanthin,0.087,3.48
a_vau_7_010223,List,2022,September,2,0.025,Chlorophyll b,1.937,77.48
a_vau_7_010223,List,2022,September,2,0.025,Chlorophyll a,10.131,405.24
a_vau_7_010223,List,2022,September,2,0.025,ß-Carotin,0.471,18.84
a_vau_7_010223,List,2022,September,2,0.025,Vaucheriaxanthin,1618498,
a_vau_8_010223,List,2022,September,3,0.025,Chlorophyll c2,0.571,22.84
a_vau_8_010223,List,2022,September,3,0.025,Fucoxanthin,0.906,36.24
a_vau_8_010223,List,2022,September,3,0.025,Violaxanthin,0.103,4.12
a_vau_8_010223,List,2022,September,3,0.025,Diadinoxanthin,1.724,68.96
a_vau_8_010223,List,2022,September,3,0.025,Diatoxanthin,0.087,3.48
a_vau_8_010223,List,2022,September,3,0.025,Chlorophyll b,1.788,71.52
a_vau_8_010223,List,2022,September,3,0.025,Chlorophyll a,9.881,395.24
a_vau_8_010223,List,2022,September,3,0.025,ß-Carotin,0.455,18.2
a_vau_8_010223,List,2022,September,3,0.025,Vaucheriaxanthin,1473170,
a_vau_9_010223,List,2022,September,4,0.025,Chlorophyll c2,0.581,23.24
a_vau_9_010223,List,2022,September,4,0.025,Fucoxanthin,0.926,37.04
a_vau_9_010223,List,2022,September,4,0.025,Violaxanthin,0.105,4.2
a_vau_9_010223,List,2022,September,4,0.025,Diadinoxanthin,1.761,70.44
a_vau_9_010223,List,2022,September,4,0.025,Diatoxanthin,0.091,3.64
a_vau_9_010223,List,2022,September,4,0.025,Chlorophyll b,1.835,73.4
a_vau_9_010223,List,2022,September,4,0.025,Chlorophyll a,10.049,401.96
a_vau_9_010223,List,2022,September,4,0.025,ß-Carotin,0.471,18.84
a_vau_9_010223,List,2022,September,4,0.025,Vaucheriaxanthin,1529254,
a_vau_10_010223,List,2022,September,5,0.025,Chlorophyll c2,0.56,22.4
a_vau_10_010223,List,2022,September,5,0.025,Fucoxanthin,0.892,35.68
a_vau_10_010223,List,2022,September,5,0.025,Violaxanthin,0.099,3.96
a_vau_10_010223,List,2022,September,5,0.025,Diadinoxanthin,1.647,65.88
a_vau_10_010223,List,2022,September,5,0.025,Diatoxanthin,0.081,3.24
a_vau_10_010223,List,2022,September,5,0.025,Chlorophyll b,1.726,69.04
a_vau_10_010223,List,2022,September,5,0.025,Chlorophyll a,9.742,389.68
a_vau_10_010223,List,2022,September,5,0.025,ß-Carotin,0.448,17.92
a_vau_10_010223,List,2022,September,5,0.025,Vaucheriaxanthin,1562110,
a_vau_11_010223,Kampen,2022,November,1,0.025,Chlorophyll c2,0.295,11.8
a_vau_11_010223,Kampen,2022,November,1,0.025,Fucoxanthin,0.56,22.4
a_vau_11_010223,Kampen,2022,November,1,0.025,Violaxanthin,0.069,2.76
a_vau_11_010223,Kampen,2022,November,1,0.025,Diadinoxanthin,1.019,40.76
a_vau_11_010223,Kampen,2022,November,1,0.025,Diatoxanthin,0.168,6.72
a_vau_11_010223,Kampen,2022,November,1,0.025,Chlorophyll b,1.071,42.84
a_vau_11_010223,Kampen,2022,November,1,0.025,Chlorophyll a,6.755,270.2
a_vau_11_010223,Kampen,2022,November,1,0.025,ß-Carotin,0.257,10.28
a_vau_11_010223,Kampen,2022,November,1,0.025,Vaucheriaxanthin,978854,
a_vau_12_010223,Kampen,2022,November,2,0.025,Chlorophyll c2,0.243,9.72
a_vau_12_010223,Kampen,2022,November,2,0.025,Fucoxanthin,0.438,17.52
a_vau_12_010223,Kampen,2022,November,2,0.025,Violaxanthin,0.06,2.4
a_vau_12_010223,Kampen,2022,November,2,0.025,Diadinoxanthin,0.798,31.92
a_vau_12_010223,Kampen,2022,November,2,0.025,Diatoxanthin,0.119,4.76
a_vau_12_010223,Kampen,2022,November,2,0.025,Chlorophyll b,0.845,33.8
a_vau_12_010223,Kampen,2022,November,2,0.025,Chlorophyll a,5.6,224
a_vau_12_010223,Kampen,2022,November,2,0.025,ß-Carotin,0.202,8.08
a_vau_12_010223,Kampen,2022,November,2,0.025,Vaucheriaxanthin,863082,
a_vau_13_010223,Kampen,2022,November,3,0.025,Chlorophyll c2,0.236,9.44
a_vau_13_010223,Kampen,2022,November,3,0.025,Fucoxanthin,0.442,17.68
a_vau_13_010223,Kampen,2022,November,3,0.025,Violaxanthin,0.055,2.2
a_vau_13_010223,Kampen,2022,November,3,0.025,Diadinoxanthin,0.719,28.76
a_vau_13_010223,Kampen,2022,November,3,0.025,Diatoxanthin,0.117,4.68
a_vau_13_010223,Kampen,2022,November,3,0.025,Chlorophyll b,0.701,28.04
a_vau_13_010223,Kampen,2022,November,3,0.025,Chlorophyll a,5.257,210.28
a_vau_13_010223,Kampen,2022,November,3,0.025,ß-Carotin,0.163,6.52
a_vau_13_010223,Kampen,2022,November,3,0.025,Vaucheriaxanthin,655288,
a_vau_14_010223,Kampen,2022,November,4,0.025,Chlorophyll c2,0.242,9.68
a_vau_14_010223,Kampen,2022,November,4,0.025,Fucoxanthin,0.456,18.24
a_vau_14_010223,Kampen,2022,November,4,0.025,Violaxanthin,0.058,2.32
a_vau_14_010223,Kampen,2022,November,4,0.025,Diadinoxanthin,0.711,28.44
a_vau_14_010223,Kampen,2022,November,4,0.025,Diatoxanthin,0.114,4.56
a_vau_14_010223,Kampen,2022,November,4,0.025,Chlorophyll b,0.736,29.44
a_vau_14_010223,Kampen,2022,November,4,0.025,Chlorophyll a,5.314,212.56
a_vau_14_010223,Kampen,2022,November,4,0.025,ß-Carotin,0.172,6.88
a_vau_14_010223,Kampen,2022,November,4,0.025,Vaucheriaxanthin,638461,
a_vau_15_010223,Kampen,2022,November,5,0.025,Chlorophyll c2,0.238,9.52
a_vau_15_010223,Kampen,2022,November,5,0.025,Fucoxanthin,0.454,18.16
a_vau_15_010223,Kampen,2022,November,5,0.025,Violaxanthin,0.058,2.32
a_vau_15_010223,Kampen,2022,November,5,0.025,Diadinoxanthin,0.74,29.6
a_vau_15_010223,Kampen,2022,November,5,0.025,Diatoxanthin,0.12,4.8
a_vau_15_010223,Kampen,2022,November,5,0.025,Chlorophyll b,0.766,30.64
a_vau_15_010223,Kampen,2022,November,5,0.025,Chlorophyll a,5.368,214.72
a_vau_15_010223,Kampen,2022,November,5,0.025,ß-Carotin,0.188,7.52
a_vau_15_010223,Kampen,2022,November,5,0.025,Vaucheriaxanthin,673803,
a_vau_16_010223,List,2022,November,1,0.025,Chlorophyll c2,0.112,4.48
a_vau_16_010223,List,2022,November,1,0.025,Fucoxanthin,0.139,5.56
a_vau_16_010223,List,2022,November,1,0.025,Violaxanthin,0.015,0.6
a_vau_16_010223,List,2022,November,1,0.025,Diadinoxanthin,0.105,4.2
a_vau_16_010223,List,2022,November,1,0.025,Diatoxanthin,0.08,3.2
a_vau_16_010223,List,2022,November,1,0.025,Chlorophyll b,0.254,10.16
a_vau_16_010223,List,2022,November,1,0.025,Chlorophyll a,2.891,115.64
a_vau_16_010223,List,2022,November,1,0.025,ß-Carotin,0.176,7.04
a_vau_16_010223,List,2022,November,1,0.025,Vaucheriaxanthin,106697,
a_vau_17_010223,List,2022,November,2,0.025,Chlorophyll c2,0.122,4.88
a_vau_17_010223,List,2022,November,2,0.025,Fucoxanthin,0.147,5.88
a_vau_17_010223,List,2022,November,2,0.025,Violaxanthin,0.016,0.64
a_vau_17_010223,List,2022,November,2,0.025,Diadinoxanthin,0.114,4.56
a_vau_17_010223,List,2022,November,2,0.025,Diatoxanthin,0.083,3.32
a_vau_17_010223,List,2022,November,2,0.025,Chlorophyll b,0.278,11.12
a_vau_17_010223,List,2022,November,2,0.025,Chlorophyll a,3.113,124.52
a_vau_17_010223,List,2022,November,2,0.025,ß-Carotin,0.195,7.8
a_vau_17_010223,List,2022,November,2,0.025,Vaucheriaxanthin,112760,
a_vau_18_010223,List,2022,November,3,0.025,Chlorophyll c2,0.107,4.28
a_vau_18_010223,List,2022,November,3,0.025,Fucoxanthin,0.126,5.04
a_vau_18_010223,List,2022,November,3,0.025,Violaxanthin,0.01,0.4
a_vau_18_010223,List,2022,November,3,0.025,Diadinoxanthin,0.09,3.6
a_vau_18_010223,List,2022,November,3,0.025,Diatoxanthin,0.063,2.52
a_vau_18_010223,List,2022,November,3,0.025,Chlorophyll b,0.188,7.52
a_vau_18_010223,List,2022,November,3,0.025,Chlorophyll a,2.596,103.84
a_vau_18_010223,List,2022,November,3,0.025,ß-Carotin,0.158,6.32
a_vau_18_010223,List,2022,November,3,0.025,Vaucheriaxanthin,90427,
a_vau_19_010223,List,2022,November,4,0.025,Chlorophyll c2,0.115,4.6
a_vau_19_010223,List,2022,November,4,0.025,Fucoxanthin,0.13,5.2
a_vau_19_010223,List,2022,November,4,0.025,Violaxanthin,0.011,0.44
a_vau_19_010223,List,2022,November,4,0.025,Diadinoxanthin,0.097,3.88
a_vau_19_010223,List,2022,November,4,0.025,Diatoxanthin,0.067,2.68
a_vau_19_010223,List,2022,November,4,0.025,Chlorophyll b,0.203,8.12
a_vau_19_010223,List,2022,November,4,0.025,Chlorophyll a,2.713,108.52
a_vau_19_010223,List,2022,November,4,0.025,ß-Carotin,0.167,6.68
a_vau_19_010223,List,2022,November,4,0.025,Vaucheriaxanthin,105460,
a_vau_20_010223,List,2022,November,5,0.025,Chlorophyll c2,0.097,3.88
a_vau_20_010223,List,2022,November,5,0.025,Fucoxanthin,0.122,4.88
a_vau_20_010223,List,2022,November,5,0.025,Violaxanthin,0.01,0.4
a_vau_20_010223,List,2022,November,5,0.025,Diadinoxanthin,0.089,3.56
a_vau_20_010223,List,2022,November,5,0.025,Diatoxanthin,0.061,2.44
a_vau_20_010223,List,2022,November,5,0.025,Chlorophyll b,0.185,7.4
a_vau_20_010223,List,2022,November,5,0.025,Chlorophyll a,2.514,100.56
a_vau_20_010223,List,2022,November,5,0.025,ß-Carotin,0.152,6.08
a_vau_20_010223,List,2022,November,5,0.025,Vaucheriaxanthin,97089,
